city,lat,lng,country,iso2,admin,capital,population,population_proper
Wonthaggi,-38.605862,145.593552,Australia,AU,Victoria,,5985,2958
Northam,-31.649321,116.674232,Australia,AU,Western Australia,,5855,4805
Kununurra,-15.77813,128.744141,Australia,AU,Western Australia,,5679,4780
Roma,-26.56741,148.787506,Australia,AU,Queensland,,5496,3625
Mudgee,-32.59948,149.587067,Australia,AU,New South Wales,,5391,5391
Newman,-23.394506,119.729637,Australia,AU,Western Australia,,5138,218
McMinns Lagoon,-12.55397,131.111649,Australia,AU,Northern Territory,,5025,5025
Forbes,-33.384361,148.007599,Australia,AU,New South Wales,,4838,3315
Berri,-34.281071,140.599579,Australia,AU,South Australia,,4716,4330
Cobram,-35.920689,145.640656,Australia,AU,Victoria,,4659,4659
Scone,-32.05014,150.868927,Australia,AU,New South Wales,,4624,4624
Goondiwindi,-28.5464,150.307297,Australia,AU,Queensland,,4251,4251
Manjimup,-34.241219,116.145638,Australia,AU,Western Australia,,4240,3793
Narrogin,-32.932819,117.177628,Australia,AU,Western Australia,,4238,3752
Smithton,-40.845868,145.124975,Australia,AU,Tasmania,,4202,2500
Proserpine,-20.4011,148.5802,Australia,AU,Queensland,,3976,3976
Katanning,-33.68787,117.558403,Australia,AU,Western Australia,,3934,2346
Seymour,-37.02655,145.139236,Australia,AU,Victoria,,3693,3693
Clare,-33.833248,138.610641,Australia,AU,South Australia,,3061,2397
Central Coast,-33.42979,151.371445,Australia,AU,New South Wales,,3026,3026
Port Douglas,-16.483829,145.467255,Australia,AU,Queensland,,3000,1009
Longreach,-23.44212,144.249207,Australia,AU,Queensland,,2894,2894
Weipa,-12.62346,141.87883,Australia,AU,Queensland,,2830,2830
Wallaroo,-33.938808,137.633652,Australia,AU,South Australia,,2779,2105
Tom Price,-22.69408,117.787651,Australia,AU,Western Australia,,2723,921
Merredin,-31.48094,118.274483,Australia,AU,Western Australia,,2668,1440
Bordertown,-36.307678,140.771667,Australia,AU,South Australia,,2583,1369
Bourke,-30.09008,145.945435,Australia,AU,New South Wales,,2475,2475
North Scottsdale,-41.121545,147.559519,Australia,AU,Tasmania,,2468,899
Queenstown,-42.080502,145.556458,Australia,AU,Tasmania,,2352,964
Charleville,-26.40542,146.242737,Australia,AU,Queensland,,1900,1900
Yamba,-29.43545,153.360306,Australia,AU,New South Wales,,1806,1806
Tumby Bay,-34.375061,136.103333,Australia,AU,South Australia,,1791,1791
Mount Barker,-34.63084,117.666061,Australia,AU,Western Australia,,1781,1762
Peterborough,-32.97205,138.840729,Australia,AU,South Australia,,1689,1013
Wagin,-33.308941,117.343277,Australia,AU,Western Australia,,1598,477
Ceduna,-32.121559,133.678665,Australia,AU,South Australia,,1586,919
Kalbarri,-27.710501,114.165047,Australia,AU,Western Australia,,1537,1537
Penola,-37.375198,140.836777,Australia,AU,South Australia,,1514,1512
Meningie,-35.688412,139.338562,Australia,AU,South Australia,,1501,199
Gingin,-31.347219,115.90432,Australia,AU,Western Australia,,1446,1446
Ouyen,-35.070869,142.320343,Australia,AU,Victoria,,1400,424
Port Denison,-29.283333,114.916667,Australia,AU,Western Australia,,1213,1213
Halls Creek,-18.22485,127.666473,Australia,AU,Western Australia,,1209,1209
Cloncurry,-20.70718,140.513031,Australia,AU,Queensland,,1202,1202
Oatlands,-42.30302,147.367233,Australia,AU,Tasmania,,1157,1157
Winton,-22.381849,143.042404,Australia,AU,Queensland,,1157,1157
Ravensthorpe,-33.583031,120.046883,Australia,AU,Western Australia,,1101,177
Exmouth,-21.940201,114.125008,Australia,AU,Western Australia,,1085,1085
Barcaldine,-23.55353,145.285416,Australia,AU,Queensland,,1068,1068
Streaky Bay,-32.79924,134.211594,Australia,AU,South Australia,,1060,169
Norseman,-32.197689,121.778732,Australia,AU,Western Australia,,1004,1004
Yulara,-25.245291,130.980545,Australia,AU,Northern Territory,,930,930
Georgetown,-18.29199,143.545837,Australia,AU,Queensland,,818,818
Pannawonica,-21.639179,116.322227,Australia,AU,Western Australia,,686,686
Pine Creek,-13.82077,131.832947,Australia,AU,Northern Territory,,665,345
Meekatharra,-26.59524,118.493927,Australia,AU,Western Australia,,654,654
Kimba,-33.14164,136.418747,Australia,AU,South Australia,,636,636
Boulia,-22.91139,139.909348,Australia,AU,Queensland,,600,205
Onslow,-21.636869,115.111687,Australia,AU,Western Australia,,573,573
Quilpie,-26.61348,144.269485,Australia,AU,Queensland,,560,560
Cowell,-33.68227,136.921173,Australia,AU,South Australia,,537,537
Andamooka,-30.44972,137.163651,Australia,AU,South Australia,,528,528
Eidsvold,-25.370609,151.122589,Australia,AU,Queensland,,459,459
Woomera,-31.19981,136.832581,Australia,AU,South Australia,,450,450
Wilcannia,-31.56031,143.377045,Australia,AU,New South Wales,,442,442
Mount Magnet,-28.064791,117.849037,Australia,AU,Western Australia,,424,424
Hughenden,-20.84399,144.200348,Australia,AU,Queensland,,421,421
Laverton,-28.625311,122.399399,Australia,AU,Western Australia,,316,316
Richmond,-20.73243,143.143555,Australia,AU,Queensland,,296,296
Birdsville,-25.898001,139.351726,Australia,AU,Queensland,,283,283
Ivanhoe,-32.900379,144.301498,Australia,AU,New South Wales,,265,265
Morawa,-29.21343,116.007912,Australia,AU,Western Australia,,259,259
Theodore,-24.94743,150.075287,Australia,AU,Queensland,,246,246
Adelaide River,-13.23943,131.10733,Australia,AU,Northern Territory,,237,237
Leonora,-28.88509,121.330742,Australia,AU,Western Australia,,227,227
Kingston South East,-36.83073,139.852203,Australia,AU,South Australia,,206,206
Thargomindah,-27.99498,143.823914,Australia,AU,Queensland,,203,203
Burketown,-17.741051,139.547745,Australia,AU,Queensland,,200,173
Three Springs,-29.533609,115.760529,Australia,AU,Western Australia,,190,190
Southern Cross,-31.22677,119.323761,Australia,AU,Western Australia,,187,187
Camooweal,-19.921539,138.120132,Australia,AU,Queensland,,187,187
Bicheno,-41.884764,148.301446,Australia,AU,Tasmania,,177,177
Karumba,-17.488819,140.838196,Australia,AU,Queensland,,173,173
Windorah,-25.42224,142.656597,Australia,AU,Queensland,,158,158
Bedourie,-24.3637,139.465277,Australia,AU,Queensland,,142,142
Kingoonya,-30.9,135.3,Australia,AU,South Australia,,50,50
Melbourne,-37.813938,144.963425,Australia,AU,Victoria,admin,,
Currie,-39.929759,143.853847,Australia,AU,Tasmania,minor,,
North Melbourne,-37.813938,144.963425,Australia,AU,Victoria,admin,,
East Melbourne,-37.813938,144.963425,Australia,AU,Victoria,admin,,
West Melbourne,-37.813938,144.963425,Australia,AU,Victoria,admin,,
Albert Park,-37.813938,144.963425,Australia,AU,Victoria,admin,,
Saint Kilda,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OTTOWAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PENNINGTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROSEWATER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINGFIELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALBERT PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALBERTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHELTENHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HENDON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
QUEENSTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROYAL PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BIRKENHEAD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ETHELTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLANVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AMATA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALLENBY GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BEVERLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KILKENNY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ANGLE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FERRYDEN PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
REGENCY PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ST CLAIR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODVILLE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODVILLE SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODVILLE WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ANANGU PITJANTJATJARA YANKUNYTJATJARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AYERS RANGE SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DE ROSE HILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
IWANTJA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KALKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KALTJITI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KANPI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LAMBINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MIMILI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MURPUTJA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NYAPARI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PIPALYATJARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PUKATJA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TIEYON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
UMUWA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WATARRU,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WATINUMA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YUNYARINYI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WELLAND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ADELAIDE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NORTH ADELAIDE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOWDEN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROMPTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HINDMARSH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST HINDMARSH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CROYDON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CROYDON PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DEVON PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUDLEY PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RENOWN PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RIDLEYTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST CROYDON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OSBORNE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAPEROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NORTH HAVEN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OUTER HARBOR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EXETER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEMAPHORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEMAPHORE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEMAPHORE SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST LAKES SHORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ATHOL PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MANSFIELD PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODVILLE GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODVILLE NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GILLMAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TENNYSON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FINDON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEATON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FULHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FULHAM GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MILE END SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
THEBARTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TORRENSVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROOKLYN PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LOCKLEYS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
UNDERDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COWANDILLA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HILTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARLESTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RICHMOND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST RICHMOND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CLARENCE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GOODWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KINGS PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NORTH PLYMPTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CAMDEN PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PLYMPTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PLYMPTON PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SOUTH PLYMPTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CLARENCE GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EDWARDSTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MELROSE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NOVAR GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MILLSWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WAYVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ASHFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLACK FOREST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EVERARD PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FORESTVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KESWICK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KESWICK TERMINAL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLANDORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KURRALTA PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NETLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST BEACH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FLINDERS PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KIDMAN PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MILE END,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NEW PORT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORT ADELAIDE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LARGS BAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LARGS NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PETERHEAD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HYDE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MALVERN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
UNLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
UNLEY PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROWN HILL CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CLAPHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAWTHORN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KINGSWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BEDFORD PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CLOVELLY PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PASADENA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ST MARYS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TONSLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ASCOT PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COROMANDEL VALLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CRAIGBURN FARM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAWTHORNDENE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BELAIR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENALTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COLONEL LIGHT GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CUMBERLAND PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DAW PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PANORAMA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WESTBOURNE PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST LAKES,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRANGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HENLEY BEACH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HENLEY BEACH SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENELG SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OAKLANDS PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARRADALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DARLINGTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEACOMBE GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEACOMBE HEIGHTS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STURT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRIGHTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DOVER GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOVE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
